Company,Returnee Count
Cypress Creek Renewables,1
Columbia University in the City of New York,1
Louis Berger,1
"Love Aifu Cosmetics Co., Ltd.",1
La Queen Aesthetics Skin Care,1
CapitaLand,1
McGill University,1
Facebook AI Research,1
"Law Office of Morrie I. Levine, P.A.",1
Cultured Living Atlanta (previously Southwest Atlanta) magazine,1
Emory University School of Law,1
Girls Who Invest,1
Project Worldwide,1
Rossman P.C.,1
Thurgood Marshall College Fund,1
Informa,1
hughjgallagher.com,1
Baxter International Inc.,1
Takeda Pharmaceuticals,1
SCOUT Bags,1
Kids2,1
Barclays Investment Bank,1
A10 Investimentos e Assessoria,1
Tata Consultancy Services,1
Very Tall Productions/Ellen Rakieten Ent.,1
Bassett Vance Productions,1
Junior Achievement of Georgia,1
Harlem United,1
Collins Aerospace,1
Northwestern Mutual,1
"BMW Manufacturing Co., LLC",1
Premier Employee Solutions,1
O'Toole Rogers LLP,1
Georgia Cares,1
Colgate Palmolive,1
Ernst & Young,1
Dagger,1
BFG Communications,1
Praytell,1
Wilmer Cutler Pickering Hale and Dorr LLP (WilmerHale),1
Virginia's Community College System,1
Ege University,1
AGRICON Pesticide Experiment and Consultancy Ltd. Co.,1
Johnson & Johnson,1
Edelman,1
Pecos River Learning Centers,1
Harvard Business School,1
Numerator,1
Shaker Recruitment Marketing,1
UScellular,1
"AGC America, Inc.",1
Bayer,1
Washington University in St. Louis,1
"Genius Productions, a Marsai Martin Company",1
ESPN,1
The Walt Disney Company,1
Goldman Sachs,1
GEICO,1
Time Inc.,1
BNY Mellon,1
Walmart Labs,1
Stanford GSB Impact Fund,1
Vuma Reputation Management,1
"DB Consulting Group, Inc.",1
Alliant Insurance Services and  JLT USA from 2003 to 2006,1
J.P.West,1
Packback,1
Public School and Education Employee Retirement System of Missouri,1
Executive Resume Writers,1
Meridian Center Arena,1
City of Raleigh Municipal Government,1
Center for Leadership Development,1
Follain,1
"General Dynamic Information Technology/CSRA, LLC",1
"Favors IT Consulting, LLC",1
Revature,1
University of Delaware,1
Support.com,1
Siemens,1
ADAMA Agricultural Solutions Ltd,1
Kremers Urban Pharmaceuticals Inc.,1
DuPont Pioneer,1
ICI - ICARE,1
Clean Energy Works,1
The Climate Reality Project,1
SVPGlobal,1
Hamilton Lane,1
Lincoln University,1
Harvard,1
Hanesbrands Inc.,1
Habitat for Humanity International,1
Lenders for Community Development (now Opportunity Fund),1
Affordable Housing Associates (now Satellite Affordable Housing Associates - SAHA),1
JDRF International,1
Privately-Held Management Company,1
Davenport & Company LLC,1
Dow Corning,1
CorePower Yoga,1
Publicis Advertising,1
TracyLocke,1
Barclays Capital,1
Grand Canyon University,1
TBWA\WORLDHEALTH,1
Girlfriends Pray,1
Zip Code Wilmington,1
Federal Reserve Bank of San Francisco,1
The Female Quotient,1
PowerAdvocate,1
Center for Transportation and the Environment,1
James E. Roberts-Obayashi Corp.,1
Osklen,1
Turner & Townsend,1
Crossrail Ltd,1
EVCA,1
Intel Corporation,1
Sun Microsystems,1
Trafigura,1
Bain Creative Management Consultants Ltd Beijing Branch,1
DBS Bank,1
DELIGHTED BY Desserts,1
Concentra Medical Centers,1
Life Coach Radio Networks,1
Medtronic,1
Oracle Corporation,1
Hitachi Consulting,1
"Strategy&, part of the PwC network",1
Asian Development Bank (ADB),1
Strategy&,1
Cornerstone OnDemand,1
TRM Labs,1
Chief,1
Shiftsmart,1
Safety National,1
Aimia Inc,1
Alkami Technology,1
Per Scholas,1
